round,domain,item,delta_mean,delta_sd,HDI_lower,HDI_upper,sig,direction,grade,actual_dif
7,어휘문법,1,-0.06648876417353625,0.11958601044518323,-0.30586702,0.15882615,False,-,A(무시),N
7,어휘문법,2,0.2868596552421237,0.11037876715910613,0.067128186,0.5000754,True,남유리,C(큰),Y
7,어휘문법,3,-0.06912149422626425,0.10272432798164638,-0.27026141,0.12821093,False,-,A(무시),N
7,어휘문법,4,-0.30407533660719627,0.11302741216949717,-0.52487843,-0.086879369,True,여유리,C(큰),Y
7,어휘문법,5,0.167985889064504,0.10344355926215397,-0.036824128,0.36668549,False,-,A(무시),Y
7,어휘문법,6,0.1409804605370394,0.12570822634668102,-0.10142566,0.38665935,False,-,A(무시),N
7,어휘문법,7,0.04340741526834637,0.11287391109782031,-0.18947704,0.25060338,False,-,A(무시),N
7,어휘문법,8,0.016697132973841854,0.11343724357746095,-0.20840519,0.22977654,False,-,A(무시),N
7,어휘문법,9,-0.001762502046127125,0.10900595752212228,-0.22473687,0.19718618,False,-,A(무시),N
7,어휘문법,10,-0.17732800644252245,0.10644805785637261,-0.38388377,0.028109451,False,-,A(무시),Y
7,어휘문법,11,0.19381616798237125,0.09805710759311607,0.00086736626,0.37824768,True,남유리,C(큰),Y
7,어휘문법,12,0.12282389601885055,0.13533152682273852,-0.14235973,0.38703611,False,-,A(무시),N
7,어휘문법,13,0.09004095206286623,0.11213319185920319,-0.13807245,0.29685336,False,-,A(무시),N
7,어휘문법,14,-0.1305944135291004,0.11523747429237617,-0.36426478,0.083236164,False,-,A(무시),N
7,어휘문법,15,-0.1471209028775501,0.1159330286435354,-0.36688009,0.08350692,False,-,A(무시),Y
7,어휘문법,16,0.3056857580645512,0.10959190384012754,0.092251377,0.52165129,True,남유리,C(큰),Y
7,어휘문법,17,0.168588517209175,0.1353152361126004,-0.095172179,0.43035441,False,-,A(무시),Y
7,어휘문법,18,-0.0033489155166072366,0.1002909373134628,-0.19674305,0.19047007,False,-,A(무시),N
7,어휘문법,19,-0.0857960087708665,0.12271075522296947,-0.32999556,0.1465226,False,-,A(무시),N
7,어휘문법,20,0.07004318469865313,0.1271023672081716,-0.1772797,0.31463768,False,-,A(무시),N
7,어휘문법,21,-0.503461301741,0.10899014935565669,-0.71305262,-0.29427133,True,여유리,C(큰),Y
7,어휘문법,22,-0.024686990665799626,0.10807718185157651,-0.23842995,0.17720601,False,-,A(무시),N
7,어휘문법,23,-0.07671884660837751,0.10483586170225051,-0.27825238,0.12436338,False,-,A(무시),N
7,어휘문법,24,0.06806813586275913,0.13138999313081243,-0.18836626,0.32802028,False,-,A(무시),N
7,어휘문법,25,0.06326087589706338,0.12817293601943042,-0.19383745,0.30343434,False,-,A(무시),N
7,어휘문법,26,0.026266470117909682,0.12736571221539372,-0.22311426,0.27106329,False,-,A(무시),N
7,어휘문법,27,-0.587908501692,0.13753979748815884,-0.86057464,-0.32697414,True,여유리,C(큰),Y
7,어휘문법,28,-0.009982284918497002,0.10169155489115243,-0.21427405,0.18301292,False,-,A(무시),N
7,어휘문법,29,0.075895354198391,0.11223853707394216,-0.15047914,0.28866912,False,-,A(무시),N
7,어휘문법,30,-0.04573392008404576,0.1027040367944556,-0.24304571,0.15250641,False,-,A(무시),N
7,쓰기,1,-0.1308038758058575,0.10800031485572509,-0.35193419,0.075533614,False,-,A(무시),N
7,쓰기,2,0.01122548002654025,0.10785463546672434,-0.20928949,0.22576002,False,-,A(무시),N
7,쓰기,3,0.06549031128300925,0.11668798498211146,-0.173072,0.29038576,False,-,A(무시),N
7,쓰기,4,-0.057757088308977245,0.10995486386534392,-0.28241699,0.15847638,False,-,A(무시),N
7,쓰기,5,-0.07517539082126512,0.1215350653316927,-0.32796126,0.15568416,False,-,A(무시),N
7,쓰기,6,0.07446871384863887,0.11403611449972068,-0.15409269,0.30110942,False,-,A(무시),Y
7,쓰기,7,0.0491092132623482,0.1060184986609326,-0.15988154,0.2620586,False,-,A(무시),N
7,쓰기,8,-0.031369616599143814,0.11692276780886286,-0.2561789,0.20629629,False,-,A(무시),N
7,쓰기,9,-0.054897519919421,0.13221976473354724,-0.31279602,0.21057173,False,-,A(무시),N
7,쓰기,10,0.18129032013660665,0.13291817253499513,-0.093600199,0.4257229,False,-,A(무시),Y
7,쓰기,11,-0.13797669555637251,0.10959446208216544,-0.37104979,0.064107094,False,-,A(무시),Y
7,쓰기,12,0.008141342682583503,0.10773698193884064,-0.21461626,0.21365728,False,-,A(무시),N
7,쓰기,13,0.07102322078098175,0.1073721803903943,-0.15205289,0.27798229,False,-,A(무시),N
7,쓰기,14,0.20335660676353523,0.10959189130805938,-0.03166555,0.40882745,False,-,A(무시),Y
7,쓰기,15,-0.005200225326806626,0.11726201744126973,-0.23885556,0.22486901,False,-,A(무시),N
7,쓰기,16,-0.04741013908931988,0.12614045579023636,-0.30173346,0.19801551,False,-,A(무시),N
7,쓰기,17,-0.03668842847209768,0.11187411859572359,-0.25656441,0.18446539,False,-,A(무시),N
7,쓰기,18,-0.07624516647307962,0.11682801775394619,-0.31945402,0.14097668,False,-,A(무시),N
7,쓰기,19,-0.008188225430466864,0.10682480878200441,-0.21704728,0.20582048,False,-,A(무시),N
7,쓰기,20,-0.04932515676253149,0.10725323426273814,-0.27289011,0.16112589,False,-,A(무시),N
7,쓰기,21,0.0281395037369295,0.11222607263726614,-0.20066176,0.24295541,False,-,A(무시),N
7,쓰기,22,0.019691618113340626,0.11125092899378944,-0.19828954,0.24478718,False,-,A(무시),N
7,쓰기,23,-0.015266021523378498,0.10886606087757833,-0.2379415,0.19199184,False,-,A(무시),N
7,쓰기,24,-0.1007327900457285,0.11988698198114217,-0.33139943,0.14419704,False,-,A(무시),N
7,쓰기,25,0.04064227767529302,0.10426244255062005,-0.16823766,0.24864098,False,-,A(무시),N
7,쓰기,26,0.006550909133561752,0.10582137639038738,-0.21409419,0.2108931,False,-,A(무시),N
7,쓰기,27,0.020473874993696375,0.11387060757015623,-0.21900943,0.22901661,False,-,A(무시),N
7,쓰기,28,-0.02821807964002812,0.1099791442750085,-0.24496553,0.19511282,False,-,A(무시),N
7,쓰기,29,-0.19663890973830608,0.11785750626815172,-0.43036861,0.03156225,False,-,A(무시),Y
7,쓰기,30,0.04502404518277338,0.1426306186710531,-0.23948304,0.31894553,False,-,A(무시),N
7,듣기,1,-0.13425957713308548,0.12018808548518632,-0.35905331,0.11117459,False,-,A(무시),Y
7,듣기,2,-0.04031260493925042,0.10579045795646311,-0.24850132,0.15732862,False,-,A(무시),N
7,듣기,3,0.020998184271184796,0.10764274464288669,-0.18698421,0.22792733,False,-,A(무시),N
7,듣기,4,-0.19643431192726024,0.11700964422965635,-0.42017996,0.026741578,False,-,A(무시),Y
7,듣기,5,-0.024165909459688977,0.11869080128634636,-0.25479613,0.20476161,False,-,A(무시),N
7,듣기,6,0.1333967829653675,0.11456898479598934,-0.07994782,0.35767858,False,-,A(무시),N
7,듣기,7,-0.007229598355286124,0.11084282750991209,-0.22591493,0.19759741,False,-,A(무시),N
7,듣기,8,0.042645924653050886,0.10838240815834956,-0.16289657,0.25244239,False,-,A(무시),N
7,듣기,9,0.0012712021228937509,0.10849447320888238,-0.20975467,0.20502922,False,-,A(무시),N
7,듣기,10,0.04904389464484213,0.10095738688998715,-0.14948286,0.2335959,False,-,A(무시),N
7,듣기,11,0.04139893652359975,0.11568733965126234,-0.18232446,0.26221945,False,-,A(무시),N
7,듣기,12,-0.1729588036017169,0.11129143749277519,-0.4001789,0.034462223,False,-,A(무시),Y
7,듣기,13,-0.048550223256056624,0.1071543046779004,-0.25953642,0.14970418,False,-,A(무시),N
7,듣기,14,0.14467253594789,0.10643163181628265,-0.064891049,0.33905718,False,-,A(무시),N
7,듣기,15,0.05739657000195233,0.10396980129493245,-0.13968992,0.25839054,False,-,A(무시),N
7,듣기,16,0.008031964102727376,0.10129222684933607,-0.19456095,0.18902053,False,-,A(무시),N
7,듣기,17,0.04453637243753212,0.10028567252856009,-0.15681782,0.22607624,False,-,A(무시),N
7,듣기,18,0.014052221684282374,0.11319699754658401,-0.20116198,0.23591382,False,-,A(무시),N
7,듣기,19,0.05699130666196088,0.1047046897109487,-0.14657357,0.24845981,False,-,A(무시),N
7,듣기,20,0.03635355952338675,0.10629884741627173,-0.16973057,0.23639852,False,-,A(무시),N
7,듣기,21,-0.017973702074085374,0.11216556315552426,-0.2310782,0.20324049,False,-,A(무시),Y
7,듣기,22,-0.092253365558236,0.11201067581300651,-0.30324765,0.13096871,False,-,A(무시),Y
7,듣기,23,-0.19264086226977156,0.12347517293612613,-0.42426553,0.051393222,False,-,A(무시),Y
7,듣기,24,-0.014005844774974996,0.10679170169388864,-0.21908108,0.184262,False,-,A(무시),N
7,듣기,25,0.07257900460838161,0.11052028078561844,-0.14864892,0.27447219,False,-,A(무시),N
7,듣기,26,0.20882776216558124,0.11086040846927131,-0.012490701,0.41196964,False,-,A(무시),Y
7,듣기,27,-0.23956191292123374,0.1089807840437007,-0.4528401,-0.033779818,True,여유리,C(큰),Y
7,듣기,28,-0.021664947851042116,0.11089871025533315,-0.23940868,0.18671123,False,-,A(무시),N
7,듣기,29,0.028191576560853984,0.10486889168360881,-0.17519649,0.22478196,False,-,A(무시),N
7,듣기,30,-0.0073357598280203735,0.10569054058455359,-0.20160306,0.19630699,False,-,A(무시),N
7,읽기,1,0.21915900573535574,0.10552805321437803,0.0065048317,0.42437056,True,남유리,C(큰),Y
7,읽기,2,-0.06502467346736988,0.09924541836173761,-0.25716418,0.13683962,False,-,A(무시),Y
7,읽기,3,-0.025839730967389,0.11745525223741309,-0.26410475,0.19977086,False,-,A(무시),Y
7,읽기,4,-0.045156373132228006,0.11312388570443607,-0.27025546,0.17659507,False,-,A(무시),N
7,읽기,5,0.17686118539226311,0.1003154007904237,-0.015054933,0.3827047,False,-,A(무시),Y
7,읽기,6,-0.08245382677331588,0.11219382980502117,-0.29604147,0.14226521,False,-,A(무시),N
7,읽기,7,-0.012004667075769521,0.10304766642759754,-0.21125685,0.19413785,False,-,A(무시),N
7,읽기,8,-0.07946767082023662,0.10548061123777641,-0.28544315,0.12558179,False,-,A(무시),N
7,읽기,9,0.026223283222511124,0.1081288038947916,-0.18735427,0.24347473,False,-,A(무시),N
7,읽기,10,-0.008795372642756748,0.10449942333167592,-0.21071501,0.20227439,False,-,A(무시),N
7,읽기,11,-0.0108551059733819,0.10685289725784991,-0.22890889,0.19465643,False,-,A(무시),N
7,읽기,12,-0.06304187611139175,0.10844800134364582,-0.25802849,0.16383746,False,-,A(무시),N
7,읽기,13,0.3189216580463938,0.10722304149718405,0.10330737,0.53258919,True,남유리,C(큰),Y
7,읽기,14,-0.05868299396474703,0.11160762789545155,-0.27636086,0.1631874,False,-,A(무시),N
7,읽기,15,-0.12341155720546075,0.11264201409492604,-0.34281105,0.10127158,False,-,A(무시),N
7,읽기,16,-0.03997538615102125,0.10618604184671854,-0.25478697,0.15894492,False,-,A(무시),N
7,읽기,17,-0.03055918816778673,0.10614380780845112,-0.23748585,0.18122853,False,-,A(무시),N
7,읽기,18,-0.041453709492489124,0.10127340539217547,-0.2323294,0.16717011,False,-,A(무시),N
7,읽기,19,-0.1432398832598355,0.10310568494870169,-0.34346649,0.062811856,False,-,A(무시),Y
7,읽기,20,-0.04318287672478962,0.10509603283358303,-0.23941734,0.17390431,False,-,A(무시),N
7,읽기,21,0.01435266968635776,0.11436360294925545,-0.20375249,0.24690187,False,-,A(무시),N
7,읽기,22,0.008464422726990037,0.1066851815026411,-0.20530516,0.21526168,False,-,A(무시),Y
7,읽기,23,0.1531268046288414,0.11790497615584279,-0.076914619,0.38225773,False,-,A(무시),Y
7,읽기,24,0.0529463708122705,0.10328775556711374,-0.14229255,0.26502599,False,-,A(무시),N
7,읽기,25,-0.1862692804568,0.10457315108793847,-0.39848571,0.014241878,False,-,A(무시),Y
7,읽기,26,-0.06747386291067675,0.10585536163987802,-0.26702354,0.15063348,False,-,A(무시),N
7,읽기,27,0.02228029172998095,0.10480645998105992,-0.19028254,0.22428772,False,-,A(무시),N
7,읽기,28,0.09312656622170064,0.11520094794662365,-0.12364147,0.32529914,False,-,A(무시),N
7,읽기,29,0.06310058022088175,0.10037687652958885,-0.12916042,0.26942649,False,-,A(무시),N
7,읽기,30,-0.029980564064932522,0.10455142249233584,-0.22886611,0.18139435,False,-,A(무시),N
8,어휘문법,1,0.21842009527948,0.12495185286855381,-0.03014943,0.4595159,False,-,A(무시),Y
8,어휘문법,2,-0.054686691286134376,0.11025023017849837,-0.26638353,0.1597541,False,-,A(무시),N
8,어휘문법,3,0.03911431311759883,0.11128560070208914,-0.16751097,0.27034448,False,-,A(무시),Y
8,어휘문법,4,0.1390092795019488,0.10771897183324002,-0.068472081,0.3563528,False,-,A(무시),Y
8,어휘문법,5,0.12360648763814325,0.10218469750451586,-0.071276485,0.3288006,False,-,A(무시),Y
8,어휘문법,6,0.0981258350110065,0.11428367768669999,-0.13258523,0.30853999,False,-,A(무시),N
8,어휘문법,7,-0.020875344521184,0.10091801700199077,-0.2216942,0.17073487,False,-,A(무시),N
8,어휘문법,8,0.0075078798333096265,0.11352809910928409,-0.20788848,0.23687261,False,-,A(무시),N
8,어휘문법,9,0.034582827945659825,0.11089129744988828,-0.17279695,0.26519427,False,-,A(무시),N
8,어휘문법,10,0.09073608863054543,0.11682322571415607,-0.12875744,0.32928778,False,-,A(무시),N
8,어휘문법,11,0.10881835075951513,0.10919314186413855,-0.10378638,0.32565502,False,-,A(무시),N
8,어휘문법,12,0.18219788712950485,0.1135872395904567,-0.034012715,0.40772615,False,-,A(무시),Y
8,어휘문법,13,0.009716480334460648,0.10359207449536806,-0.1911344,0.21094039,False,-,A(무시),N
8,어휘문법,14,0.0732639176259614,0.10944704363786216,-0.13962003,0.28602364,False,-,A(무시),Y
8,어휘문법,15,-0.02124299739259802,0.10591429100461228,-0.21630382,0.19746485,False,-,A(무시),N
8,어휘문법,16,-0.27280597689839153,0.12180924182043998,-0.50137214,-0.027102314,True,여유리,C(큰),Y
8,어휘문법,17,-0.03396625305231625,0.1124060410734263,-0.24991878,0.18559249,False,-,A(무시),N
8,어휘문법,18,0.011776022959140087,0.10425202651016222,-0.18392391,0.22111345,False,-,A(무시),N
