round,domain,item,delta_mean,delta_sd,HDI_lower,HDI_upper,sig,direction,grade,actual_dif
7,어휘문법,1,-0.18008584789110796,0.1408309810110392,-0.46221987,0.094512152,False,-,A(무시),N
7,어휘문법,2,0.2594066602389241,0.12420701995097544,0.032885605,0.51311022,True,남유리,C(큰),Y
7,어휘문법,3,-0.058039402250779325,0.11010699555836685,-0.2587892,0.16950406,False,-,A(무시),N
7,어휘문법,4,-0.3030360038101033,0.12278842543899461,-0.52285936,-0.046818799,True,여유리,C(큰),Y
7,어휘문법,5,0.26358361648352335,0.1118827936010162,0.039187218,0.47713038,True,남유리,C(큰),Y
7,어휘문법,6,0.020481218032956668,0.15887004532135834,-0.27346268,0.33783237,False,-,A(무시),N
7,어휘문법,7,0.054478081982755666,0.13910491249604276,-0.20735248,0.32899262,False,-,A(무시),N
7,어휘문법,8,-0.0056159859005000005,0.1397662670212722,-0.28952129,0.26825403,False,-,A(무시),N
7,어휘문법,9,0.06135551721405867,0.1253276230623914,-0.17865802,0.3076518,False,-,A(무시),N
7,어휘문법,10,-0.3288198485733734,0.11603876114676304,-0.54707614,-0.10653659,True,여유리,C(큰),Y
7,어휘문법,11,0.16404184939342,0.09899618822614989,-0.035367814,0.35156461,False,-,A(무시),Y
7,어휘문법,12,0.13863042399231865,0.17686034257718983,-0.21887878,0.48211354,False,-,A(무시),N
7,어휘문법,13,0.1810808980924233,0.12788894395734693,-0.055493409,0.45085123,False,-,A(무시),N
7,어휘문법,14,-0.18320060257296333,0.14163531704083143,-0.44752314,0.1021651,False,-,A(무시),N
7,어휘문법,15,-0.015599289551283334,0.13844999543577036,-0.27739469,0.26269291,False,-,A(무시),Y
7,어휘문법,16,0.3459971945547334,0.12027801160475139,0.1060739,0.56910892,True,남유리,C(큰),Y
7,어휘문법,17,0.17726197711771335,0.15906392596628277,-0.136178,0.4781258,False,-,A(무시),Y
7,어휘문법,18,0.12454914196973366,0.10952254312540878,-0.080612806,0.35733572,False,-,A(무시),N
7,어휘문법,19,-0.10614561773233318,0.1575285810219801,-0.4219963,0.20575155,False,-,A(무시),N
7,어휘문법,20,-0.13193765970417667,0.14956032281148038,-0.42881524,0.15165035,False,-,A(무시),N
7,어휘문법,21,-0.4937885830893333,0.12928176739417932,-0.75146355,-0.24433015,True,여유리,C(큰),Y
7,어휘문법,22,0.03969927618878034,0.11287206303562854,-0.17703213,0.25623788,False,-,A(무시),N
7,어휘문법,23,0.06226970673801477,0.11209365019178417,-0.16250508,0.27426428,False,-,A(무시),N
7,어휘문법,24,0.010426481366145166,0.16807338127237753,-0.31915948,0.31678094,False,-,A(무시),N
7,어휘문법,25,-0.055127965141926666,0.14742398752846275,-0.35046792,0.23816779,False,-,A(무시),N
7,어휘문법,26,-0.014884070354255333,0.15847656475542465,-0.33594671,0.28762065,False,-,A(무시),N
7,어휘문법,27,-0.31111834664821,0.16321212249391717,-0.63339634,-0.00077902011,True,여유리,C(큰),Y
7,어휘문법,28,-0.0007063570731866672,0.10401978347072466,-0.19976453,0.20816277,False,-,A(무시),N
7,어휘문법,29,0.32695396280179,0.13442316885099878,0.054429681,0.58715729,True,남유리,C(큰),N
7,어휘문법,30,0.010939751966675668,0.10712744123272601,-0.19706141,0.22928241,False,-,A(무시),N
7,쓰기,1,-0.03597318552323667,0.10060848392576952,-0.22539614,0.16787516,False,-,A(무시),N
7,쓰기,2,0.00310081480856,0.10581310711324449,-0.20837698,0.20610072,False,-,A(무시),N
7,쓰기,3,0.14512282167990773,0.12869260805296584,-0.092387033,0.40582726,False,-,A(무시),N
7,쓰기,4,-0.16005881842833333,0.10218070767537903,-0.36314268,0.035650321,False,-,A(무시),N
7,쓰기,5,0.043746716871466675,0.14138107666779787,-0.2446948,0.30488279,False,-,A(무시),N
7,쓰기,6,0.08340339815735333,0.11342939822831428,-0.13954161,0.29950316,False,-,A(무시),Y
7,쓰기,7,0.11046847028734934,0.09996951902422788,-0.091013817,0.29727856,False,-,A(무시),N
7,쓰기,8,-0.001039625092065667,0.13398788864165329,-0.26710361,0.25438443,False,-,A(무시),N
7,쓰기,9,-0.1333906512441823,0.1529060567035592,-0.41697529,0.17041589,False,-,A(무시),N
7,쓰기,10,0.16444781875297002,0.1557592216393533,-0.14712917,0.45151556,False,-,A(무시),Y
7,쓰기,11,-0.08821666271214,0.1157489643820044,-0.32832504,0.12707616,False,-,A(무시),Y
7,쓰기,12,-0.024559782384426333,0.1075468861491503,-0.23943726,0.17947831,False,-,A(무시),N
7,쓰기,13,0.12853942683003167,0.09922278967673064,-0.067932613,0.31387855,False,-,A(무시),N
7,쓰기,14,0.27755849592620335,0.10895620176277732,0.063218593,0.48874897,True,남유리,C(큰),Y
7,쓰기,15,-0.008444359749782665,0.1443669135551374,-0.28249945,0.26651367,False,-,A(무시),N
7,쓰기,16,0.046980178504676666,0.14476227259896077,-0.24013174,0.32696275,False,-,A(무시),N
7,쓰기,17,-0.03304726850704467,0.11187878096132274,-0.26220658,0.18048235,False,-,A(무시),N
7,쓰기,18,-0.16723416582261033,0.13331300214357614,-0.4301373,0.084571206,False,-,A(무시),N
7,쓰기,19,-0.003644273824251,0.1004894761869024,-0.19720508,0.19864581,False,-,A(무시),N
7,쓰기,20,-0.041945614459035836,0.10557684456697128,-0.26387632,0.15659998,False,-,A(무시),N
7,쓰기,21,-0.13787768598832,0.11388556636048128,-0.36316217,0.084262921,False,-,A(무시),N
7,쓰기,22,0.07021392742294667,0.11475588191910562,-0.14868287,0.29047342,False,-,A(무시),N
7,쓰기,23,-0.09203931486639366,0.106003579766549,-0.29994917,0.11224151,False,-,A(무시),N
7,쓰기,24,-0.05985035802717533,0.12455745188609048,-0.31400174,0.16950397,False,-,A(무시),N
7,쓰기,25,0.020017965266114667,0.09931808664720997,-0.18405332,0.20611697,False,-,A(무시),N
7,쓰기,26,0.001336761002916667,0.09864057858564484,-0.18660709,0.19626945,False,-,A(무시),N
7,쓰기,27,0.1858320392345967,0.12586246410569957,-0.060283363,0.42931581,False,-,A(무시),N
7,쓰기,28,-0.21338594605316333,0.10970352870812017,-0.42452805,-0.0054419178,True,여유리,C(큰),N
7,쓰기,29,-0.17537510089033967,0.12987556335883282,-0.41651501,0.080709383,False,-,A(무시),Y
7,쓰기,30,0.00021358036379300033,0.16165689539208067,-0.32705925,0.29894524,False,-,A(무시),N
7,듣기,1,-0.06466239484084,0.14548690261238306,-0.38197919,0.19428808,False,-,A(무시),Y
7,듣기,2,0.06674266089238368,0.11164162053972006,-0.1528937,0.28513817,False,-,A(무시),N
7,듣기,3,0.014901750363067668,0.11350550123101585,-0.20005356,0.23815897,False,-,A(무시),N
7,듣기,4,-0.14103367210507667,0.12497900944282993,-0.3750299,0.11442931,False,-,A(무시),Y
7,듣기,5,-0.004967077887894,0.13009337757569733,-0.26371666,0.23543757,False,-,A(무시),N
7,듣기,6,0.06403525346213566,0.1356866232700698,-0.21659812,0.31350217,False,-,A(무시),N
7,듣기,7,-0.0744185154514846,0.12124399504698416,-0.3140596,0.15804102,False,-,A(무시),N
7,듣기,8,0.011111804586040335,0.11450761897857509,-0.21143694,0.23286689,False,-,A(무시),N
7,듣기,9,-0.03409035000821,0.11346673516081965,-0.24957295,0.18194801,False,-,A(무시),N
7,듣기,10,0.15042800151597333,0.09436646064903198,-0.034105074,0.32359218,False,-,A(무시),N
7,듣기,11,0.03436433624901633,0.13225171728214175,-0.21889438,0.28901028,False,-,A(무시),N
7,듣기,12,-0.13687987851325464,0.11626463392523259,-0.34808484,0.099378269,False,-,A(무시),Y
7,듣기,13,0.029021424890445662,0.12107741054108202,-0.19292192,0.2789191,False,-,A(무시),N
7,듣기,14,0.16693897721732331,0.11135884132150446,-0.045015964,0.38620497,False,-,A(무시),N
7,듣기,15,0.23937053015033333,0.10376012117493912,0.051373248,0.45434567,True,남유리,C(큰),N
7,듣기,16,-0.019380295147240933,0.09355002146424742,-0.20367134,0.15875973,False,-,A(무시),N
7,듣기,17,0.06868402324354432,0.09260198044022727,-0.11907585,0.24610481,False,-,A(무시),N
7,듣기,18,-0.053957210707553,0.1297154601058587,-0.32404397,0.19341087,False,-,A(무시),N
7,듣기,19,0.139836442157563,0.10045566931108402,-0.046469401,0.34537874,False,-,A(무시),N
7,듣기,20,0.046620126714356676,0.11120766721705826,-0.16425785,0.25946913,False,-,A(무시),N
7,듣기,21,0.01589991945819867,0.12770772798163224,-0.20732542,0.28232249,False,-,A(무시),Y
7,듣기,22,-0.17381003384122998,0.12002372544408073,-0.39668048,0.06769858,False,-,A(무시),Y
7,듣기,23,-0.124020094136883,0.14265486956275006,-0.40636266,0.15524107,False,-,A(무시),Y
7,듣기,24,0.08301606365804001,0.11453246348087186,-0.12710505,0.31940996,False,-,A(무시),N
7,듣기,25,0.11644528694740999,0.11938346475111784,-0.1288426,0.33513386,False,-,A(무시),N
7,듣기,26,0.28205152020596663,0.11081214182811411,0.068570885,0.5003132,True,남유리,C(큰),Y
7,듣기,27,-0.2802302741319307,0.11703204409412818,-0.50584394,-0.053545612,True,여유리,C(큰),Y
7,듣기,28,-0.124397457643842,0.12529943518114905,-0.35582981,0.13086979,False,-,A(무시),N
7,듣기,29,-0.040345810753394,0.10372136982022216,-0.23568908,0.16534566,False,-,A(무시),N
7,듣기,30,-0.12118389804459033,0.10765516571344232,-0.32972813,0.086874112,False,-,A(무시),N
7,읽기,1,0.21212845821253337,0.1060515358949722,0.0017050139,0.41136003,True,남유리,C(큰),Y
7,읽기,2,-0.107602106468822,0.08778658356457653,-0.27032352,0.065697728,False,-,A(무시),Y
7,읽기,3,0.054736443958138,0.1429067829795081,-0.22314225,0.32641154,False,-,A(무시),Y
7,읽기,4,-0.04153603015328907,0.13478090875599621,-0.31800482,0.20804718,False,-,A(무시),N
7,읽기,5,0.10600372831018468,0.09306597809920257,-0.074262201,0.28730368,False,-,A(무시),Y
7,읽기,6,-0.06853495294294566,0.12432999597647454,-0.31089545,0.17905228,False,-,A(무시),N
7,읽기,7,-0.113431972322012,0.09973945872779469,-0.30207967,0.090344789,False,-,A(무시),N
7,읽기,8,-0.12542500674456,0.1143100127347683,-0.34932115,0.096971854,False,-,A(무시),N
7,읽기,9,0.16405317366430533,0.11768496689071077,-0.057540473,0.4021877,False,-,A(무시),N
7,읽기,10,-0.08138417660965666,0.11524664822988152,-0.30320138,0.13987297,False,-,A(무시),N
7,읽기,11,-0.01738597417479267,0.10877916630781861,-0.22435692,0.19283776,False,-,A(무시),N
