문항번호,delta_mean,delta_sd,HDI_lower,HDI_upper,DIF_유의,DIF_방향,DIF_등급,P(DIF>0)
1,-0.248,0.125,-0.449,-0.056,Y,여유리,C (큰),0.021
2,-0.177,0.098,-0.328,-0.013,Y,여유리,C (큰),0.031
3,-0.456,0.119,-0.65,-0.271,Y,여유리,C (큰),0.0
4,0.844,0.107,0.679,1.018,Y,남유리,C (큰),1.0
5,-0.055,0.109,-0.218,0.125,N,-,A (무시),0.305
6,0.479,0.096,0.327,0.634,Y,남유리,C (큰),1.0
7,0.382,0.101,0.217,0.538,Y,남유리,C (큰),1.0
8,0.087,0.114,-0.098,0.266,N,-,A (무시),0.781
9,0.475,0.104,0.306,0.637,Y,남유리,C (큰),1.0
10,0.45,0.104,0.283,0.616,Y,남유리,C (큰),1.0
11,-0.815,0.123,-1.01,-0.625,Y,여유리,C (큰),0.0
12,0.505,0.096,0.353,0.657,Y,남유리,C (큰),1.0
13,0.306,0.107,0.14,0.481,Y,남유리,C (큰),0.999
14,0.397,0.123,0.207,0.598,Y,남유리,C (큰),0.999
15,1.347,0.136,1.14,1.575,Y,남유리,C (큰),1.0
16,-0.482,0.112,-0.654,-0.3,Y,여유리,C (큰),0.0
17,-1.124,0.128,-1.334,-0.928,Y,여유리,C (큰),0.0
18,-0.919,0.125,-1.114,-0.719,Y,여유리,C (큰),0.0
19,-0.04,0.109,-0.209,0.139,N,-,A (무시),0.364
20,0.639,0.123,0.452,0.841,Y,남유리,C (큰),1.0
21,0.524,0.105,0.361,0.699,Y,남유리,C (큰),1.0
22,-0.679,0.123,-0.867,-0.475,Y,여유리,C (큰),0.0
23,-0.097,0.085,-0.239,0.032,N,-,A (무시),0.126
24,-0.455,0.115,-0.64,-0.274,Y,여유리,C (큰),0.0
25,0.462,0.096,0.308,0.611,Y,남유리,C (큰),1.0
26,0.093,0.093,-0.057,0.24,N,-,A (무시),0.837
27,-0.366,0.111,-0.534,-0.184,Y,여유리,C (큰),0.001
28,0.11,0.11,-0.062,0.286,N,-,A (무시),0.841
29,0.205,0.109,0.034,0.38,Y,남유리,C (큰),0.969
30,-1.396,0.142,-1.628,-1.177,Y,여유리,C (큰),0.0
