person_id,item_id,response
0,0,1
0,1,1
0,2,0
0,3,0
0,4,1
0,5,1
0,6,1
0,7,0
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
1,0,1
1,1,0
1,2,0
1,3,1
1,4,1
1,5,1
1,6,0
1,7,0
1,8,0
1,9,1
1,10,1
1,11,0
1,12,0
1,13,1
1,14,0
1,15,0
1,16,0
1,17,0
2,0,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,0
2,16,1
2,17,0
3,0,0
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,1
3,14,0
3,15,1
3,16,0
3,17,1
4,0,1
4,1,1
4,2,0
4,3,1
4,4,0
4,5,0
4,6,1
4,7,1
4,8,0
4,9,1
4,10,0
4,11,1
4,12,1
4,13,0
4,14,0
4,15,0
4,16,1
4,17,0
5,0,1
5,1,1
5,2,0
5,3,0
5,4,1
5,5,1
5,6,0
5,7,1
5,8,0
5,9,1
5,10,0
5,11,0
5,12,1
5,13,1
5,14,1
5,15,0
5,16,0
5,17,1
6,0,1
6,1,1
6,2,1
6,3,0
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
6,10,0
6,11,1
6,12,1
6,13,1
6,14,1
6,15,0
6,16,0
6,17,1
7,0,0
7,1,1
7,2,0
7,3,0
7,4,1
7,5,1
7,6,0
7,7,1
7,8,0
7,9,1
7,10,1
7,11,0
7,12,1
7,13,1
7,14,0
7,15,0
7,16,0
7,17,0
8,0,1
8,1,0
8,2,1
8,3,1
8,4,1
8,5,1
8,6,0
8,7,1
8,8,1
8,9,1
8,10,0
8,11,1
8,12,0
8,13,1
8,14,1
8,15,1
8,16,1
8,17,0
9,0,0
9,1,1
9,2,1
9,3,0
9,4,0
9,5,0
